Link,Comuna,Tipousuario,Direccion,Habitaciones,Baños,Precio,Descripcion,Titulo1,Anfitrion,Ubicacion,Fechapubli,Avisospublicados,Tipo,Estacionamiento,Avisosactivosfecha,Scrapdate
https://new.yapo.cl/inmuebles/pieza-para-estudiante-urgente_86203388,"La Serena, IV Coquimbo",Anuncio Profesional,,,,$ 180.000,Busco pieza para arrendar marzo a diciembre para estudiante cerca de inacap,Pieza para estudiante urgente,Mariela,,06-02-2023,140,Pieza,,1,14-02-2023
https://new.yapo.cl/inmuebles/excelente-departamento-frente-a-casino-enjoy_86203052,"La Serena, IV Coquimbo",,,2,2,$ 620.000,"Arriendo de marzo a diciembre hermoso departamento ,amoblado y equipado, frente al Casino Enjoy con vista al mar y a 5 minutos caminando de la Avenida del Mar. Forma parte de Condominio Marina Horizonte III, lugar tranquilo que cuenta con muy buena ubicación y accesibilidad. El condominio cuenta con piscina, quinchos, lavandería y sala multiuso. Valor $620.000 (gastos comunes incluidos).  Llamar al fono",Excelente Departamento Frente a Casino Enjoy,Sergio,"['lat=-29.94563845407694', 'lon=-71.28873825073242']",06-02-2023,8,Departamento,,4,14-02-2023
https://new.yapo.cl/inmuebles/casa-familiar_86129322,"Coquimbo, IV Coquimbo",,,3,2,$ 550.000,"Linda casa familiar amoblaba amplia y en muy buen estado. Se busca Empresa o Familia responsable que este interesada en arrendar año corrido.  Se solicita mes de arriendo + mes de garantía. Se realiza contrato de arriendo se solicita antecedentes laborales y personales. Gracias  Es una casa que se encuentra ubicada frente a servicios públicos y en un lugar seguro que es transitable. El inmueble es de material solido de dos pisos, dos baños, cocina y comedor.",Casa Familiar,Mónica Carvajal Silva,,06-02-2023,2,Casa,,2,14-02-2023
https://new.yapo.cl/inmuebles/pieza-para-estudiante_86202515,"La Serena, IV Coquimbo",,bellavista 3 ,,,$ 180.000,Arriendo Pieza amueblada con baño privado y lugar para cocinar. Es un mini departamento independiente. Esta ubicado en un ambiente privilegiado con jardines y hermosa vista. A 5 min de la Florida y a 10 min del centro de La Serena. A 2 cuadras de ruta 41,Pieza para estudiante,raul,"['lat=-29.96272', 'lon=-71.22464']",06-02-2023,6,Pieza,,1,14-02-2023
https://new.yapo.cl/inmuebles/departamento-para-estudiantes-o-emprfull-amoblado_86202398,"La Serena, IV Coquimbo",Anuncio Profesional,,3,2,$ 600.000,Arriendo Bello departamento ubicado en sector residencial de La Serena frente al Faro y cerca del Inacap.   Seguridad 24/7 Conserjería y cámaras en el entorno.  Descripción,Departamento para estudiantes o emprfull amoblado,Daisy Cisternas Castro,,06-02-2023,25,Departamento,1,3,14-02-2023
https://new.yapo.cl/inmuebles/departamento_86132830,"La Serena, IV Coquimbo",,,3,1,$ 400.000,"Se arrienda departamento semi amoblado cocina amoblada, resfrigerador, lavadora. Dormitorios con camas. Excelente ubicación condominio mistral 3 Cuenta con quincho, piscina y juegos infantiles. Mes de garantía 600000 por concepto de deterioros del inmueble. Año corrido o de marzo a diciembre.",Departamento,Helen SepÃºlveda,,06-02-2023,1,Departamento,,1,14-02-2023
https://new.yapo.cl/inmuebles/pieza-sector-cisternas-con-cuatro-esquinas_86202317,"La Serena, IV Coquimbo",,,,,$ 125.000,"Se arrienda pieza Año corrido a trabajador solo, entrada independiente, WiFi, agua caliente, lavadora, refrigerador y cocina (no incluye gas),baño compartido y con acceso rápido a locomoción  Todo independiente a dueña de casa",Pieza sector cisternas con cuatro esquinas,Sra Patricia,,06-02-2023,13,Pieza,,1,14-02-2023
https://new.yapo.cl/inmuebles/departamento-amoblado-en-la-serena_86201503,"La Serena, IV Coquimbo",,,3,1,$ 350.000,"Se Arrienda departamento Amoblado en La Serena DESDE MARZO HASTA DICIEMBRE. Ubicado en Avenida Pacífico con 4 esquinas, a una cuadra de Avenida del Mar. El departamento cuanta con 3 habitaciones, un baño, balcón, estacionamiento y está completamente equipado. Valor de arriendo mensual $350.000  Se debe pagar mes de garantía de $350.000 Trato directo con el dueño, NO hay pago a corredora. Interesados llamar",Departamento Amoblado en La Serena,Sergio,,06-02-2023,19,Departamento,,1,14-02-2023
https://new.yapo.cl/inmuebles/hermosa-casa-sector-el-milagro-2_86201284,"La Serena, IV Coquimbo",Anuncio Profesional,,3,1,$ 480.000,"Casa sector El milagro 2 Se arrienda hermosa casa en el sector de El Milagro 2 de tres dormitorios y un baño, patio, quincho, ante jardin y 2 estacionamientos (sin amoblar)  Arrienda su propia dueña.   Requisitos:  Últimas tres liquidaciones de sueldo y/o boletas  No dicom  Mes de garantía (480.000) Mes de arriendo (480.000)   Contactos +56964077603",Hermosa casa sector El milagro 2,Ricardo alonso dinamarca araya,,06-02-2023,104,Casa,2,5,14-02-2023
https://new.yapo.cl/inmuebles/departamento-avenida-del-mar-2400-4to-piso-8230_86207674,"La Serena, IV Coquimbo",Anuncio Profesional,,3,2,$ 165.000,se arrienda amplio y comodo departamento en avenida del mar por la temporada de verano. 3 dormitorios para 8 personas frente al mar,DEPARTAMENTO avenida del mar 2400 4to piso …,Rios Del Valle Propiedades,"['lat=-29.9174577', 'lon=-71.27540979999999']",06-02-2023,48,Departamento,,48,14-02-2023
https://new.yapo.cl/inmuebles/departamento-condominio-costamar-la-herrad8230_86207708,"Coquimbo, IV Coquimbo",Anuncio Profesional,,3,,$ 650.000,"Se arrienda acogedor departamento en el 2º piso del Condominio Costamar en La Herradura, Coquimbo.  El departamento cuenta con: - 3 dormitorios (1 con walk-in closet),  - 2 baños (1 en-suite) y  - estacionamiento.  El condominio cuenta con. - gimnasio,  - sala de reuniones,  - piscina,  - quincho,  - juegos infantiles y  - acceso directo a la playa.  Gastos comunes incluidos en el arriendo mensual. Con o sin muebles.  Disponible desde 1 marzo.","DEPARTAMENTO Condominio Costamar, La Herrad…",Carolita Smith,"['lat=-29.9774898', 'lon=-71.3472962']",06-02-2023,9,Departamento,,9,14-02-2023
https://new.yapo.cl/inmuebles/linda-casa-3-piezas-2-baos-3-estacionamientos--_86200803,"Salamanca, IV Coquimbo",,"mundo nuevo 68, salamanca, chile 68 ",3,2,$ 350.000,"Casa semi nueva 3 piezas 2 baños (1 en la pieza principal) 2 a 3 estacionamiento Patio trasero Cocina amoblada (cocina, refrigerador, microondas y muebles) Futón Comedor con 4 sillas Tv smart Incluye tv por cable Forma parte de un condominio de 2 casas Tranquilo ambiente  Ubicación: mundo nuevo 68 (a la altura del hospital de salamanca).  $350.000+ mes de garantía",Linda casa 3 piezas 2 baños 3 estacionamientos -,Pablo,"['lat=-31.769861021897974', 'lon=-70.95783948898315']",06-02-2023,23,Casa,3,3,14-02-2023
https://new.yapo.cl/inmuebles/arriendo-de-pieza_86200686,"Coquimbo, IV Coquimbo",,,,,$ 200.000,"Se arrienda pieza a estudiantes de preferencia mujeres en el sector el llano en coquimbo, la pieza cuenta con baño privado y se comparte cocina. Para mayor antecedentes comunicarse al celular indicado",Arriendo de pieza,Carolina,,06-02-2023,34,Pieza,,1,14-02-2023
