Link,Comuna,Tipousuario,Direccion,Habitaciones,Baños,Precio,Descripcion,Titulo1,Anfitrion,Ubicacion,Fechapubli,Avisospublicados,Tipo,Estacionamiento,Avisosactivosfecha,Scrapdate
https://new.yapo.cl/inmuebles/casa-amplia-coquimbo-sindempark_85960430,"Coquimbo, IV Coquimbo",,,3,2,$ 90.000,Arriendo casa temporada verano para 10 personas. Casa amplia. Ubicada a 3 min de la playa la herradura sector del sindempark. Cuenta 3 dormitorio  2 baños Estacionamiento 3 autos Terraza  Lugar tranquilo y agradable  Valor x noche 90000 conversable segun dias y personas  contáctenos Disponible de 15 de. Enero hasta 28 enero Disponible de 13 de febrero hasta 28 febrero  Arriendo mensual de marzo,Casa amplia coquimbo sindempark,claudio.r.g.soporte,,15-01-2023,128,Casa,3,1,{'Scrapdate': '06-02-2023'}
https://new.yapo.cl/inmuebles/departamento-la-herradura-coquimbo-2023_85640302,"Coquimbo, IV Coquimbo",,Avenida Darío Salas 497 ,3,2,$ 65.000,"Departamento en la Herradura Coquimbo, en primera línea con acceso directo a la playa. Equipado para 5 a 6 personas,3 dormitorios(cama matrimonial baño en suite y tres camas individuales en los otros dormitorios), mas 1 baño adicional. Ambiente seguro y tranquilo, ideal para familias, sólo 3 departamentos por piso con Cocina full equipada totalmente amoblado, cable y Wifi, Terraza, Estacionamiento, Conserjería y Seguridad 24 horas con acceso controlado, Piscina y Juegos infantiles, Quincho y Áreas verdes.Frente a supermercado Santa Isabel, farmacia, cajero, restaurantes y locales comerciales, a 15 minutos del Enjoy Peñuela.   Descuento por estadías superiores a 10 noches  No se admiten Mascotas  Valores desde 01 diciembre 2022 al 31 Enero 2023 $ 65.000.-  del 01 Febrero 2023 al 28 de Febrero 2023 $ 70.000.-",Departamento La Herradura Coquimbo 2023,Ivan Echeverria,"['lat=-29.977855006690014', 'lon=-71.34716749191284']",15-01-2023,21,Departamento,1,2,{'Scrapdate': '06-02-2023'}
https://new.yapo.cl/inmuebles/departamento-vista-al-mar-playa-y-casino-enjoy_76314613,"Coquimbo, IV Coquimbo",,,2,2,$ 75.000,"Arriendo cómodo departamento con vista al mar, ubicado detrás del casino Enjoy de Coquimbo, playa Peñuelas, edificio ""Gran Marina Horizonte II"", cercano a pubs, restaurantes, zona muy turística y atractiva.  El departamento dispone de:  - cocina (equipada completa)  - living (con smart tv de 50 pulgadas con Directv)  - 2 dormitorios   (1 cama 2 plazas con 1 tv con directv,)  (1 camarote tricama (3 camas de 1 plaza)  - 2 baños con tina (1 de ellos en suite matrimonial)  - terraza  - estacionamiento privado  - seguridad  - zona de niños (juegos)  - gimnasio al aire libre  - lavandería  - sala wifi  - quinchos  - ascensor  - piscina  - condominio cuenta con un acceso peatonal directo a la playa.   CAPACIDAD MÁXIMA 5 PERSONAS  NO SE ADMITEN MASCOTAS   ESTADIA MINIMA 6 NOCHES  VALOR POR NOCHE: ENERO $75.000 FEBRERO $80.000  Celular (ISABEL)","Departamento vista al mar, playa y casino Enjoy",Isabel Marín,,15-01-2023,13,Departamento,1,2,{'Scrapdate': '06-02-2023'}
https://new.yapo.cl/inmuebles/cabaas-en-guanaqueros_85423107,"Coquimbo, IV Coquimbo",Anuncio Profesional,,2,1,$ 50.000,"Arriendo desde 02 enero 2023 hasta 31 marzo, casa para 5 personas, incluye piscina, estacionamientos,TV cable, minimo 3 noches, se aceptan mascotas, lugar seguro y grato, amplio terreno. Cerca de Tongoy a 5 min pueblo Guanaqueros. Precio por enero 2023",Cabañas en Guanaqueros,Katya,,15-01-2023,26,Casa,10,2,{'Scrapdate': '06-02-2023'}
https://new.yapo.cl/inmuebles/cabaa-contairner-llano--los-choros_85958505,"La Higuera, IV Coquimbo",Anuncio Profesional,,1,1,$ 29.000,"SE ARRIENDA DE ENERO A MARZO EN EL LLANO DE LOS CHOS CABAÑA CONTAINER PARA 3 PERSONAS C/U , UNA CAMA DE 2 PLAZAS , U FUTON, UN BAÑO, DUCHA CON AGUA CALIENTE, LUZ SOLAR, LA CABAÑA CUENTA CON FRIGOBAR, COCINA , LAVAPLATOS , QUINCHO RUSTICO PARA COMPARTIR, UN BUEN LUGAR DE DECANSO , PARA COMPARTIR, ESTA A 10 MINUTOS DE PUNTA DE CHOROS A ORILLA DE CAMINO, ESTACIONAMIENTOS A UN COSTADO DE CADA CABAÑA , LUGAR TRANQUILO Y MUY SEGURO, ATENDIDO POR SUS PROPIOS DUEÑOS.",cabaña contairner llano -los choros,Propiedades Hidalgo Yanssen,,15-01-2023,214,Cabaña,2,6,{'Scrapdate': '06-02-2023'}
https://new.yapo.cl/inmuebles/deoartamento-enero--febrero_85958327,"Coquimbo, IV Coquimbo",,,3,2,$ 70.000,"Departamento equipado para 5 personas, ubicado en Avenida Pacífico, Puertas del Mar. Terraza con vista directa al mar, cercano a El Faro, avenida del Mar, centro de la ciudad.",Deoartamento Enero- Febrero,Dancy Castillo,,15-01-2023,6,Departamento,1,2,{'Scrapdate': '06-02-2023'}
https://new.yapo.cl/inmuebles/casa-de-verano_85957273,"Coquimbo, IV Coquimbo",,,4 o más dormitorios,3,$ 150.000,"Arriendo casa grande de verano con piscina privada a 15 minutos de la playa de Coquimbo, amplio estacionamiento totalmente equipada para 10 personas, mínimo de arriendo 7 días fechas disponible del 31 de enero al 8 de febrero y del 22 de febrero en adelante, fono",Casa de verano,yessica.cortes.portilla,,15-01-2023,16,Casa,5,2,{'Scrapdate': '06-02-2023'}
https://new.yapo.cl/inmuebles/depto-verano-5-6-perscerca-faro-y-centro-de-serena_85257138,"La Serena, IV Coquimbo",,,3,1,$ 50.000,"**DIPONIBLE DEL 27/2 AL 4/2** Depto sector puerta del mar, cerca del faro y centro de serena, calle federico arcos esquina Roberto flores  A 1 cuadra de avda fco de Aguirre  A 12 minutos caminando de el faro(avda del mar) A 10 minutos caminando de el centro  Frente al mall puerta del mar  3 dormitorios 1 baño Tv Movistar en en los 3 dormitorios y living  Wifi fibra óptica,  Piscina Estacionamiento  Equipado para 5-6 personas  Trato directo con su dueña",Depto verano 5-6 perscerca faro y centro de serena,Marisol,,14-01-2023,4,Departamento,1,3,{'Scrapdate': '06-02-2023'}
https://new.yapo.cl/inmuebles/departamento-temporada-verano_85878036,"La Serena, IV Coquimbo",,,2,1,$ 50,"Arriendo de departamento para 3 o 4 personas, excelente ubicación, frente a mall puertas del mar (supermercado, Homecenter, tiendas comerciales) a pasos de la avenida fel mar. Cuenta con 2 dormitorios , 1 baño, piscina, areas verdes. Ubicado en el sexto piso del condominio alto la serena",Departamento temporada verano,Rominna Andrea,,14-01-2023,1,Departamento,,1,{'Scrapdate': '06-02-2023'}
https://new.yapo.cl/inmuebles/departamento-diario_85955472,"La Serena, IV Coquimbo",,,3,2,$ 35.000,"FECHAS DISPONIBLES!!!  - Del 15 al 18 de enero - Del 30 de enero al 5 de febrero  - Del 16 de Ferrero al 28 de febrero   Departamento 3 dormitorio 2 baños, equipado para 5 personas. Ubicado a pasos del centro de la serena y recoba (Mistral IV) Estacionamiento Wifi Lavadora  Últimas fechas disponibles !!!!!",Departamento diario,Ibania,,14-01-2023,1,Departamento,1,1,{'Scrapdate': '06-02-2023'}
