Link,Comuna,Tipousuario,Direccion,Habitaciones,Baños,Precio,Descripcion,Titulo1,Anfitrion,Ubicacion,Fechapubli,Avisospublicados,Tipo,Estacionamiento,Avisosactivosfecha,Scrapdate
https://new.yapo.cl/inmuebles/verano_85813427,"Coquimbo, IV Coquimbo",Anuncio Profesional,,4 o más dormitorios,3,$ 100.000,"Arriendo de verano $100.000 por dia, equipada para 9 personas, consta de 5 habitaciones, tres baños, estacionamiento para 3 vehículos, wifi, tv cable, emplazada al interior de un condominio con seguridad 24/7, piscina comunitaria, casa ubicada a metros de la playa la herradura, consultas a fono celular +",verano,Marcos,,01-01-2023,42,Casa,3,2,{'Scrapdate': '06-02-2023'}
https://new.yapo.cl/inmuebles/departamento-de-verano_85812594,"La Serena, IV Coquimbo",,,3,1,$ 50.000,"Arriendo departamento (2do piso), totalmente equipado, excelente ubicación a pasos del mall puertas del mar (supermercado LIDER) y mall plaza la serena , cercano a centro de la ciudad, avenida del mar, sector el faro, terminal de buses (a 10 minutos caminando) en Condominio Espacio Urbano II .  3 habitaciones y 1 baño, cuenta con guardia de seguridad las 24 hrs,Internet wifi, cable tv, estacionamiento frente a guardia de seguridad, cámaras de vigilancia, quincho, piscinas para niños y adultos. Valor:$ 50.000",Departamento de verano,rolando cuello cortes,"['lat=-29.89862', 'lon=-71.26107']",01-01-2023,10,Departamento,1,1,{'Scrapdate': '06-02-2023'}
https://new.yapo.cl/inmuebles/temporada-verano-entre-tongoy-y-guanaquer_85811954,"Coquimbo, IV Coquimbo",,Avenida Los trigales 137 ,4 o más dormitorios,2,,"La casa está ubicada entre tongoy y guanaqueros, en las parcelas llamada los trigales.  Cuenta con 4 dormitorios  2 baños Living  Cocina Comedor  Terraza Y piscina privada Para más fotos e información comunicarse al WhatsApp",temporada verano entre tongoy y guanaquer,Elen Tapia,"['lat=-30.26711', 'lon=-71.49165']",01-01-2023,3,Casa,,1,{'Scrapdate': '06-02-2023'}
https://new.yapo.cl/inmuebles/departamento-puertas-del-mar_85811627,"La Serena, IV Coquimbo",,,3,1,$ 45.000,"Se arrienda departamento sector puertas del mar a pasos de mall y 5 min de la playa Tiene 3 dormitorios, 1 baño, logia, living, comedor y cocina, totalmente equipado para 4 a 6 personas. cuenta con cable y wifi. muy cómodo y agradable para este verano 2023. Valores: $ 45.000 diario para 4 personas. se cobra $ 10.000 por persona adicional con máximo de 2.",Departamento puertas del mar,juan carlos perez,,01-01-2023,25,Departamento,1,6,{'Scrapdate': '06-02-2023'}
https://new.yapo.cl/inmuebles/departamento-temporada-de-verano_85811430,"La Serena, IV Coquimbo",,,3,1,$ 55.000,Se arrienda depa temporada de verano,departamento temporada de verano,pame trujillo,,01-01-2023,8,Departamento,1,2,{'Scrapdate': '06-02-2023'}
https://new.yapo.cl/inmuebles/playa-la-herradura-condominio-la-bahia_85695730,"Coquimbo, IV Coquimbo",,,3,1,$ 50.000,"Arriendo por temporada de verano!  excelente departamento ubicado a pasos de la playa la Herradura condominio la Bahia, cuenta con 3 dormitorios 1 baño, cocina equipada, televisión con cable, internet, quincho, piscina, estacionamiento llegar y pasar tus mejores vacaciones  Disponibilidad desde el 1 de Enero hasta el 28 de Febrero.  arriendo mínimo por 3 días y el valor es de 50000 por día. reservas abono por 2 días  interesados contactarse al fono",Playa la Herradura condominio la Bahia,Joan,,01-01-2023,8,Departamento,1,1,{'Scrapdate': '06-02-2023'}
https://new.yapo.cl/inmuebles/parque-libertad-deto-temporada-verano_85810986,"La Serena, IV Coquimbo",,juan lorenzo solis castro 520 ,3,2,$ 60.000,"El Departamento Parque Libertad, La Serena, situado en La Serena, a 1 km de El Faro, a 1,1 km de la playa Los Fuertes y a 2,1 km de Cuatro Esquinas, ofrece piscina exterior de temporada, jardín y terraza. También cuenta con piscina privada. Se encuentra a cinco minutos terminal de Buses, Supermercado Líder, Sodimac.  El apartamento cuenta con balcón, vistas al jardín, 3 dormitorios, sala de estar, TV de pantalla plana, cocina equipada y 2 baños con ducha y bañera, internet, con un estacionamiento privado, ascensor, ubicado en 4to piso.   Cerca del apartamento hay varios lugares de interés, como la avenida Francisco de Aguirre, el centro comercial Puerta del Mar y el faro de La Serena. El aeropuerto más cercano es el de La Florida, ubicado a 7 km del Departamento Parque Libertad, La Serena.  Departamento Parque Libertad, La Serena recibe clientes desde el 3 ene 2023",Parque libertad deto temporada verano,eraldo,,01-01-2023,3,Departamento,1,1,{'Scrapdate': '06-02-2023'}
https://new.yapo.cl/inmuebles/casa-a-pasos-de-la-herradura_85810654,"Coquimbo, IV Coquimbo",,,3,2,$ 55.000,"ARRIENDO DE TEMPORADA DE VERANO A PASOS DE PLAYA LA HERRADURA AGENDA DISPONIBLE TODO ENERO Y FEBRERO *Minimo 4 noches $55.000 por noche (por más de 10 días hago descuento) Arriendo acogedora casa independiente para máximo 6 personas. 3 Habitaciones, 2 Baños (1 en suite) Living y comedor, cocina americana totalmente equipada Pequeña bodega Estacionamiento para un auto y otro al exterior de la casa Quincho totalmente equipado Zona de lavandería Locomoción hacia La Serena y Coquimbo a la puerta de la casa Supermercado Unimarc a 100 metros Frente a un retén de carabineros  A 7 minutos caminando a playa la herradura. 3 minutos en vehículo A pasos de verdulerías, carnicerías, locales de comida, barberías y mucho más Si quieres estar cómodo con tu familia en vacaciones, contáctame por inbox o a través de whatsapp  Para mayor transparencia, puedo hacer videollamada desde la casa.",casa a pasos de la herradura,Gabriel,,01-01-2023,12,Casa,2,1,{'Scrapdate': '06-02-2023'}
https://new.yapo.cl/inmuebles/cabaas-guanaqueros_85810542,"Coquimbo, IV Coquimbo",,,2,1,$ 60.000,"Cabañas ""LOS BARCOS"", ¿has vivido en un barco pesquero?...Vive la experiencia !!, para 4 personas , 2 habitaciones. 200 mts pasado el peaje hacia el pueblo,cerca de playa, hermosa vista al mar.",Cabañas Guanaqueros,Carlos Valdés,,01-01-2023,25,Cabaña,1,2,{'Scrapdate': '06-02-2023'}
https://new.yapo.cl/inmuebles/depto-frente-playa-la-herradura_85810313,"Coquimbo, IV Coquimbo",,,3,1,,"Coquimbo, Enero y Febrero.  Arriendo depto amoblado y equipado para 6 personas. 3 dormitorios, 1 baño, living comedor con cocina americana. Estacionamiento, piscina, quinchos, juegos infantiles. Frente playa La Herradura. En condominio cerrado con conserjería  $40.000.- por noche.  Contactar Silvio Badenier",Depto frente playa La Herradura,Silvio Badenier,,01-01-2023,44,Departamento,1,2,{'Scrapdate': '06-02-2023'}
